N/A,Sample1,IR88888-UBN3-4,0,"IR^88888-UBN3-4	;space expected between IR and plant number#IR88888^-UBN3-4	;string pattern not recognized. #IR88888-UBN^3-4	;space expected between location code and plant number#IR88888-UBN3^-4	;string pattern not recognized. #",N/A,Sample3,1,in standardized format,"Sample3
Sample1"
N/A,BR 28/CT 6946-9-1-2-M-1P,BR 28,1378,in standardized format,"BR 28",COLOMBIA XXI,1379,in standardized format,"COLOMBIA XXI
BR 28/CT 6946-9-1-2-M-1P"
N/A,CHERIVIRUPPU/FL 1028-8P-3-2P-1P-M-2X-3P-1P,CHERIVIRUPPU,1380,in standardized format,"CHERIVIRUPPU",DULAR,1381,in standardized format,"DULAR
CHERIVIRUPPU/FL 1028-8P-3-2P-1P-M-2X-3P-1P"
N/A,CIHERANG/GIZA 178,CIHERANG,1382,in standardized format,"CIHERANG",GIZA 159,1383,in standardized format,"GIZA 159
CIHERANG/GIZA 178"
N/A,CIHERANG/GOCHI BORO,CIHERANG,1384,in standardized format,"CIHERANG",GIZA 178,1385,in standardized format,"GIZA 178
CIHERANG/GOCHI BORO"
N/A,CIHERANG/IDSA 77,CIHERANG,1386,in standardized format,"CIHERANG",GOCHI BORO,1387,in standardized format,"GOCHI BORO
CIHERANG/IDSA 77"
N/A,CIHERANG/IR 2307-247-2-2-3,CIHERANG,1388,in standardized format,"CIHERANG",IDSA 77,1389,in standardized format,"IDSA 77
CIHERANG/IR 2307-247-2-2-3"
N/A,CSR 36/IR 6,CIHERANG,1390,in standardized format,"CIHERANG",IR 2307-247-2-2-3,1391,in standardized format,"IR 2307#IR 2307-247#IR 2307-247-2#IR 2307-247-2-2#IR 2307-247-2-2-3
CSR 36/IR 6"
N/A,CSR 36/IR 64,CSR 36,1392,in standardized format,"CSR 36",IR 6,1393,in standardized format,"IR 6
CSR 36/IR 64"
N/A,CSR 36/IR 75499-53-1,CSR 36,1394,in standardized format,"CSR 36",IR 64,1395,in standardized format,"IR 64
CSR 36/IR 75499-53-1"
N/A,CSR 36/IR 2006-P12-12-2-2,CSR 36,1396,in standardized format,"CSR 36",IR 75499-53-1,1397,in standardized format,"IR 75499#IR 75499-53#IR 75499-53-1
CSR 36/IR 2006-P12-12-2-2"
N/A,CSR 36/IR 2344-P1 PB-9-3-2B,CSR 36,1398,in standardized format,"CSR 36",IR 2006-P12-12-2-2,1399,"IR 2006-P12^-12-2-2	;string pattern not recognized. #",N/A
N/A,IR 29/N 22,CSR 36,1400,in standardized format,"CSR 36",IR 2344-P1 PB-9-3-2B,1401,"IR 2344-P1 PB^-9-3-2B	;string pattern not recognized. #",N/A
N/A,IR 29/NERICA 2,IR 29,1402,in standardized format,"IR 29",N 22,1403,in standardized format,"N 22
IR 29/NERICA 2"
N/A,IR 29/IRRI 123,IR 29,1404,in standardized format,"IR 29",NERICA 2,1405,in standardized format,"NERICA 2
IR 29/IRRI 123"
N/A,IR 29/SAKHA 104,IR 29,1406,in standardized format,"IR 29",IRRI 123,1407,in standardized format,"IRRI 123
IR 29/SAKHA 104"
N/A,IR 29/SOM CAU 70 A,IR 29,1408,in standardized format,"IR 29",SAKHA 104,1409,in standardized format,"SAKHA 104
IR 29/SOM CAU 70 A"
N/A,IRRI 126/SUPER BASMATI,IR 29,1410,in standardized format,"IR 29",SOM CAU 70 A,1411,in standardized format,"SOM CAU 70 A
IRRI 126/SUPER BASMATI"
N/A,IRRI 126/WAB 56-125,IRRI 126,1412,in standardized format,"IRRI 126",SUPER BASMATI,1413,in standardized format,"SUPER BASMATI
IRRI 126/WAB 56-125"
N/A,IRRI 126/OM 4900,IRRI 126,1414,in standardized format,"IRRI 126",OM 4498,1415,in standardized format,"OM 4498
IRRI 126/OM 4900"
N/A,IRRI 126/IRRI 123,IRRI 126,1416,in standardized format,"IRRI 126",OM 4900,1417,in standardized format,"OM 4900
IRRI 126/IRRI 123"
N/A,IR 61640-3B-14-3-3-2/PUSA BASMATI 1,IRRI 126,1418,in standardized format,"IRRI 126",IRRI 123,1419,in standardized format,"IRRI 123
IR 61640-3B-14-3-3-2/PUSA BASMATI 1"
N/A,IR 61640-3B-14-3-3-2/SADRI,IR 61640-3B-14-3-3-2,1420,in standardized format,"IR 61640#IR 61640-3B#IR 61640-3B-14#IR 61640-3B-14-3#IR 61640-3B-14-3-3#IR 61640-3B-14-3-3-2",PUSA BASMATI 1,1421,in standardized format,"PUSA BASMATI 1
IR 61640-3B-14-3-3-2/SADRI"
N/A,IR 61640-3B-14-3-3-2/IR 13240-108-2-2-3,IR 61640-3B-14-3-3-2,1422,in standardized format,"IR 61640#IR 61640-3B#IR 61640-3B-14#IR 61640-3B-14-3#IR 61640-3B-14-3-3#IR 61640-3B-14-3-3-2",SADRI,1423,in standardized format,"SADRI
IR 61640-3B-14-3-3-2/IR 13240-108-2-2-3"
N/A,IR 61640-3B-14-3-3-2/ITA 306,IR 61640-3B-14-3-3-2,1424,in standardized format,"IR 61640#IR 61640-3B#IR 61640-3B-14#IR 61640-3B-14-3#IR 61640-3B-14-3-3#IR 61640-3B-14-3-3-2",IR 13240-108-2-2-3,1425,in standardized format,"IR 13240#IR 13240-108#IR 13240-108-2#IR 13240-108-2-2#IR 13240-108-2-2-3
IR 61640-3B-14-3-3-2/ITA 306"
N/A,IR 61640-3B-14-3-3-2/IR 45427-2B-2-2B-1-1,IR 61640-3B-14-3-3-2,1426,in standardized format,"IR 61640#IR 61640-3B#IR 61640-3B-14#IR 61640-3B-14-3#IR 61640-3B-14-3-3#IR 61640-3B-14-3-3-2",ITA 306,1427,in standardized format,"ITA 306
IR 61640-3B-14-3-3-2/IR 45427-2B-2-2B-1-1"
N/A,IR 63262-AC 201/IR 55179-3B-11-3,IR 61640-3B-14-3-3-2,1428,in standardized format,"IR 61640#IR 61640-3B#IR 61640-3B-14#IR 61640-3B-14-3#IR 61640-3B-14-3-3#IR 61640-3B-14-3-3-2",IR 45427-2B-2-2B-1-1,1429,in standardized format,"IR 45427#IR 45427-2B#IR 45427-2B-2#IR 45427-2B-2-2B#IR 45427-2B-2-2B-1#IR 45427-2B-2-2B-1-1
IR 63262-AC 201/IR 55179-3B-11-3"
N/A,IR 63262-AC 201/IR 64197-3B-3-1,IR 63262-AC 201,1430,"IR 63262-AC 201^	;string pattern not recognized. #",N/A,IR 55179-3B-11-3,1431,in standardized format,"IR 55179#IR 55179-3B#IR 55179-3B-11#IR 55179-3B-11-3
IR 63262-AC 201/IR 64197-3B-3-1"
N/A,IR 63262-AC 201/IR 65196-3B-5-2-2,IR 63262-AC 201,1432,"IR 63262-AC 201^	;string pattern not recognized. #",N/A,IR 64197-3B-3-1,1433,in standardized format,"IR 64197#IR 64197-3B#IR 64197-3B-3#IR 64197-3B-3-1
IR 63262-AC 201/IR 65196-3B-5-2-2"
N/A,IR 63262-AC 201/CSR 28,IR 63262-AC 201,1434,"IR 63262-AC 201^	;string pattern not recognized. #",N/A,IR 65196-3B-5-2-2,1435,in standardized format,"IR 65196#IR 65196-3B#IR 65196-3B-5#IR 65196-3B-5-2#IR 65196-3B-5-2-2
IR 63262-AC 201/CSR 28"
N/A,IR 63262-AC 201/IR 74099-3R-3-3,IR 63262-AC 201,1436,"IR 63262-AC 201^	;string pattern not recognized. #",N/A,CSR 28,1437,in standardized format,"CSR 28
IR 63262-AC 201/IR 74099-3R-3-3"
N/A,IR 07T118/IR 73571-3B-14-1,IR 63262-AC 201,1438,"IR 63262-AC 201^	;string pattern not recognized. #",N/A,IR 74099-3R-3-3,1439,"IR 74099-3R^-3-3	;string pattern not recognized. #",N/A
N/A,IR 07T118/SAMBHA MAHSURI,IR 07T118,1440,"IR ^07T118	;unexpected space is found#IR 07T118	;string pattern not recognized #",N/A,IR 73571-3B-14-1,1441,in standardized format,"IR 73571#IR 73571-3B#IR 73571-3B-14#IR 73571-3B-14-1
IR 07T118/SAMBHA MAHSURI"
N/A,IR 07T118/FH132,IR 07T118,1442,"IR ^07T118	;unexpected space is found#IR 07T118	;string pattern not recognized #",N/A,SAMBHA MAHSURI,1443,in standardized format,"SAMBHA MAHSURI
IR 07T118/FH132"
N/A,IR 07T118/SR 26 B,IR 07T118,1444,"IR ^07T118	;unexpected space is found#IR 07T118	;string pattern not recognized #",N/A,FH132,1445,in standardized format,"FH132
IR 07T118/SR 26 B"
N/A,IR 07T118/SUPA,IR 07T118,1446,"IR ^07T118	;unexpected space is found#IR 07T118	;string pattern not recognized #",N/A,SR 26 B,1447,in standardized format,"SR 26 B
IR 07T118/SUPA"
N/A,KINANDANG PATONG/SWARNA,IR 07T118,1448,"IR ^07T118	;unexpected space is found#IR 07T118	;string pattern not recognized #",N/A,SUPA,1449,in standardized format,"SUPA
KINANDANG PATONG/SWARNA"
N/A,KINANDANG PATONG/CENTAURO,KINANDANG PATONG,1450,in standardized format,"KINANDANG PATONG",SWARNA,1451,in standardized format,"SWARNA
KINANDANG PATONG/CENTAURO"
N/A,KINANDANG PATONG/COLOMBIA XXI,KINANDANG PATONG,1452,in standardized format,"KINANDANG PATONG",CENTAURO,1453,in standardized format,"CENTAURO
KINANDANG PATONG/COLOMBIA XXI"
N/A,KINANDANG PATONG/CT 6946-9-1-2-M-1P,KINANDANG PATONG,1454,in standardized format,"KINANDANG PATONG",COLOMBIA XXI,1455,in standardized format,"COLOMBIA XXI
KINANDANG PATONG/CT 6946-9-1-2-M-1P"
N/A,MANAW THUKHA/FL 1028-8P-3-2P-1P-M-2X-3P-1P,KINANDANG PATONG,1456,in standardized format,"KINANDANG PATONG",DULAR,1457,in standardized format,"DULAR
MANAW THUKHA/FL 1028-8P-3-2P-1P-M-2X-3P-1P"
N/A,IRRI 128/GIZA 178,MANAW THUKHA,1458,in standardized format,"MANAW THUKHA",GIZA 159,1459,in standardized format,"GIZA 159
IRRI 128/GIZA 178"
N/A,IRRI 128/GOCHI BORO,IRRI 128,1460,in standardized format,"IRRI 128",GIZA 178,1461,in standardized format,"GIZA 178
IRRI 128/GOCHI BORO"
N/A,IRRI 128/IDSA 77,IRRI 128,1462,in standardized format,"IRRI 128",GOCHI BORO,1463,in standardized format,"GOCHI BORO
IRRI 128/IDSA 77"
N/A,IRRI 128/IR 2307-247-2-2-3,IRRI 128,1464,in standardized format,"IRRI 128",IDSA 77,1465,in standardized format,"IDSA 77
IRRI 128/IR 2307-247-2-2-3"
N/A,IRRI 128/IR 6,IRRI 128,1466,in standardized format,"IRRI 128",IR 2307-247-2-2-3,1467,in standardized format,"IR 2307#IR 2307-247#IR 2307-247-2#IR 2307-247-2-2#IR 2307-247-2-2-3
IRRI 128/IR 6"
N/A,IRRI 146/IR 64,IRRI 128,1468,in standardized format,"IRRI 128",IR 6,1469,in standardized format,"IR 6
IRRI 146/IR 64"
N/A,IRRI 146/IR 75499-53-1,IRRI 146,1470,in standardized format,"IRRI 146",IR 64,1471,in standardized format,"IR 64
IRRI 146/IR 75499-53-1"
N/A,IRRI 146/IR 2006-P12-12-2-2,IRRI 146,1472,in standardized format,"IRRI 146",IR 75499-53-1,1473,in standardized format,"IR 75499#IR 75499-53#IR 75499-53-1
IRRI 146/IR 2006-P12-12-2-2"
N/A,IRRI 146/IR 2344-P1 PB-9-3-2B,IRRI 146,1474,in standardized format,"IRRI 146",IR 2006-P12-12-2-2,1475,"IR 2006-P12^-12-2-2	;string pattern not recognized. #",N/A
N/A,IRRI 146/N 22,IRRI 146,1476,in standardized format,"IRRI 146",IR 2344-P1 PB-9-3-2B,1477,"IR 2344-P1 PB^-9-3-2B	;string pattern not recognized. #",N/A
N/A,WAB 56-125/NERICA 2,IRRI 146,1478,in standardized format,"IRRI 146",N 22,1479,in standardized format,"N 22
WAB 56-125/NERICA 2"
N/A,WAB 96-1-1/IRRI 123,WAB 56-125,1480,in standardized format,"WAB 56#WAB 56-125",NERICA 2,1481,in standardized format,"NERICA 2
WAB 96-1-1/IRRI 123"
N/A,WAB 96-1-1/SAKHA 104,WAB 96-1-1,1482,in standardized format,"WAB 96#WAB 96-1#WAB 96-1-1",IRRI 123,1483,in standardized format,"IRRI 123
WAB 96-1-1/SAKHA 104"
N/A,WAB 96-1-1/SOM CAU 70 A,WAB 96-1-1,1484,in standardized format,"WAB 96#WAB 96-1#WAB 96-1-1",SAKHA 104,1485,in standardized format,"SAKHA 104
WAB 96-1-1/SOM CAU 70 A"
N/A,AZUCENA/SUPER BASMATI,WAB 96-1-1,1486,in standardized format,"WAB 96#WAB 96-1#WAB 96-1-1",SOM CAU 70 A,1487,in standardized format,"SOM CAU 70 A
AZUCENA/SUPER BASMATI"
N/A,AZUCENA/WAB 56-125,AZUCENA,1488,in standardized format,"AZUCENA",SUPER BASMATI,1489,in standardized format,"SUPER BASMATI
AZUCENA/WAB 56-125"
N/A,AZUCENA/OM 4498,AZUCENA,1490,in standardized format,"AZUCENA",WAB 56-125,1491,in standardized format,"WAB 56#WAB 56-125
AZUCENA/OM 4498"
N/A,AZUCENA/OM 4900,AZUCENA,1492,in standardized format,"AZUCENA",OM 4498,1493,in standardized format,"OM 4498
AZUCENA/OM 4900"
N/A,AZUCENA/IRRI 123,AZUCENA,1494,in standardized format,"AZUCENA",OM 4900,1495,in standardized format,"OM 4900
AZUCENA/IRRI 123"
N/A,IR 68/PUSA BASMATI 1,AZUCENA,1496,in standardized format,"AZUCENA",IRRI 123,1497,in standardized format,"IRRI 123
IR 68/PUSA BASMATI 1"
N/A,IR 68/SADRI,IR 68,1498,in standardized format,"IR 68",PUSA BASMATI 1,1499,in standardized format,"PUSA BASMATI 1
IR 68/SADRI"
N/A,IR 68/IR 13240-108-2-2-3,IR 68,1500,in standardized format,"IR 68",SADRI,1501,in standardized format,"SADRI
IR 68/IR 13240-108-2-2-3"
N/A,IR 68/ITA 306,IR 68,1502,in standardized format,"IR 68",IR 13240-108-2-2-3,1503,in standardized format,"IR 13240#IR 13240-108#IR 13240-108-2#IR 13240-108-2-2#IR 13240-108-2-2-3
IR 68/ITA 306"
N/A,IR 68/IR 45427-2B-2-2B-1-1,IR 68,1504,in standardized format,"IR 68",ITA 306,1505,in standardized format,"ITA 306
IR 68/IR 45427-2B-2-2B-1-1"
N/A,IR 88287-289-1/IR 55179-3B-11-3,IR 68,1506,in standardized format,"IR 68",IR 45427-2B-2-2B-1-1,1507,in standardized format,"IR 45427#IR 45427-2B#IR 45427-2B-2#IR 45427-2B-2-2B#IR 45427-2B-2-2B-1#IR 45427-2B-2-2B-1-1
IR 88287-289-1/IR 55179-3B-11-3"
N/A,IR 88287-289-1/IR 64197-3B-3-1,IR 88287-289-1,1508,in standardized format,"IR 88287#IR 88287-289#IR 88287-289-1",IR 55179-3B-11-3,1509,in standardized format,"IR 55179#IR 55179-3B#IR 55179-3B-11#IR 55179-3B-11-3
IR 88287-289-1/IR 64197-3B-3-1"
N/A,IR 88287-289-1/IR 65196-3B-5-2-2,IR 88287-289-1,1510,in standardized format,"IR 88287#IR 88287-289#IR 88287-289-1",IR 64197-3B-3-1,1511,in standardized format,"IR 64197#IR 64197-3B#IR 64197-3B-3#IR 64197-3B-3-1
IR 88287-289-1/IR 65196-3B-5-2-2"
N/A,IR 88287-289-1/CSR 28,IR 88287-289-1,1512,in standardized format,"IR 88287#IR 88287-289#IR 88287-289-1",IR 65196-3B-5-2-2,1513,in standardized format,"IR 65196#IR 65196-3B#IR 65196-3B-5#IR 65196-3B-5-2#IR 65196-3B-5-2-2
IR 88287-289-1/CSR 28"
N/A,IR 88287-289-1/IR 74099-3R-3-3,IR 88287-289-1,1514,in standardized format,"IR 88287#IR 88287-289#IR 88287-289-1",CSR 28,1515,in standardized format,"CSR 28
IR 88287-289-1/IR 74099-3R-3-3"
N/A,IR 88287-643-1/IR 73571-3B-14-1,IR 88287-289-1,1516,in standardized format,"IR 88287#IR 88287-289#IR 88287-289-1",IR 74099-3R-3-3,1517,"IR 74099-3R^-3-3	;string pattern not recognized. #",N/A
N/A,IR 88287-643-1/SAMBHA MAHSURI,IR 88287-643-1,1518,in standardized format,"IR 88287#IR 88287-643#IR 88287-643-1",IR 73571-3B-14-1,1519,in standardized format,"IR 73571#IR 73571-3B#IR 73571-3B-14#IR 73571-3B-14-1
IR 88287-643-1/SAMBHA MAHSURI"
N/A,IR 88287-643-1/FH132,IR 88287-643-1,1520,in standardized format,"IR 88287#IR 88287-643#IR 88287-643-1",SAMBHA MAHSURI,1521,in standardized format,"SAMBHA MAHSURI
IR 88287-643-1/FH132"
N/A,IR 88287-643-1/SR 26 B,IR 88287-643-1,1522,in standardized format,"IR 88287#IR 88287-643#IR 88287-643-1",FH132,1523,in standardized format,"FH132
IR 88287-643-1/SR 26 B"
N/A,IR 88287-643-1/SUPA,IR 88287-643-1,1524,in standardized format,"IR 88287#IR 88287-643#IR 88287-643-1",SR 26 B,1525,in standardized format,"SR 26 B
IR 88287-643-1/SUPA"
N/A,IR 88287-534-1/SWARNA,IR 88287-643-1,1526,in standardized format,"IR 88287#IR 88287-643#IR 88287-643-1",SUPA,1527,in standardized format,"SUPA
IR 88287-534-1/SWARNA"
N/A,IR 88287-534-1/CENTAURO,IR 88287-534-1,1528,in standardized format,"IR 88287#IR 88287-534#IR 88287-534-1",SWARNA,1529,in standardized format,"SWARNA
IR 88287-534-1/CENTAURO"
N/A,IR 88287-534-1/COLOMBIA XXI,IR 88287-534-1,1530,in standardized format,"IR 88287#IR 88287-534#IR 88287-534-1",CENTAURO,1531,in standardized format,"CENTAURO
IR 88287-534-1/COLOMBIA XXI"
N/A,IR 88287-534-1/CT 6946-9-1-2-M-1P,IR 88287-534-1,1532,in standardized format,"IR 88287#IR 88287-534#IR 88287-534-1",COLOMBIA XXI,1533,in standardized format,"COLOMBIA XXI
IR 88287-534-1/CT 6946-9-1-2-M-1P"
N/A,IR 88287-588-1/FL 1028-8P-3-2P-1P-M-2X-3P-1P,IR 88287-534-1,1534,in standardized format,"IR 88287#IR 88287-534#IR 88287-534-1",DULAR,1535,in standardized format,"DULAR
IR 88287-588-1/FL 1028-8P-3-2P-1P-M-2X-3P-1P"
N/A,IR 88287-579-1/GOCHI BORO,IR 88287-579-1,1536,in standardized format,"IR 88287#IR 88287-579#IR 88287-579-1",GIZA 178,1537,in standardized format,"GIZA 178
IR 88287-579-1/GOCHI BORO"
N/A,IR 88287-579-1/IDSA 77,IR 88287-579-1,1538,in standardized format,"IR 88287#IR 88287-579#IR 88287-579-1",GOCHI BORO,1539,in standardized format,"GOCHI BORO
IR 88287-579-1/IDSA 77"
N/A,IR 88287-579-1/IR 2307-247-2-2-3,IR 88287-579-1,1540,in standardized format,"IR 88287#IR 88287-579#IR 88287-579-1",IDSA 77,1541,in standardized format,"IDSA 77
IR 88287-579-1/IR 2307-247-2-2-3"
N/A,IR 88287-579-1/IR 6,IR 88287-579-1,1542,in standardized format,"IR 88287#IR 88287-579#IR 88287-579-1",IR 2307-247-2-2-3,1543,in standardized format,"IR 2307#IR 2307-247#IR 2307-247-2#IR 2307-247-2-2#IR 2307-247-2-2-3
IR 88287-579-1/IR 6"
N/A,IR 88287-40-1/IR 64,IR 88287-579-1,1544,in standardized format,"IR 88287#IR 88287-579#IR 88287-579-1",IR 6,1545,in standardized format,"IR 6
IR 88287-40-1/IR 64"
N/A,IR 88287-40-1/IR 75499-53-1,IR 88287-40-1,1546,in standardized format,"IR 88287#IR 88287-40#IR 88287-40-1",IR 64,1547,in standardized format,"IR 64
IR 88287-40-1/IR 75499-53-1"
N/A,IR 88287-40-1/IR 2006-P12-12-2-2,IR 88287-40-1,1548,in standardized format,"IR 88287#IR 88287-40#IR 88287-40-1",IR 75499-53-1,1549,in standardized format,"IR 75499#IR 75499-53#IR 75499-53-1
IR 88287-40-1/IR 2006-P12-12-2-2"
N/A,IR 88287-40-1/IR 2344-P1 PB-9-3-2B,IR 88287-40-1,1550,in standardized format,"IR 88287#IR 88287-40#IR 88287-40-1",IR 2006-P12-12-2-2,1551,"IR 2006-P12^-12-2-2	;string pattern not recognized. #",N/A
N/A,IR 88287-40-1/N 22,IR 88287-40-1,1552,in standardized format,"IR 88287#IR 88287-40#IR 88287-40-1",IR 2344-P1 PB-9-3-2B,1553,"IR 2344-P1 PB^-9-3-2B	;string pattern not recognized. #",N/A
N/A,IR 88287-86-1/NERICA 2,IR 88287-40-1,1554,in standardized format,"IR 88287#IR 88287-40#IR 88287-40-1",N 22,1555,in standardized format,"N 22
IR 88287-86-1/NERICA 2"
N/A,IR 88287-86-1/IRRI 123,IR 88287-86-1,1556,in standardized format,"IR 88287#IR 88287-86#IR 88287-86-1",NERICA 2,1557,in standardized format,"NERICA 2
IR 88287-86-1/IRRI 123"
N/A,IR 88287-86-1/SAKHA 104,IR 88287-86-1,1558,in standardized format,"IR 88287#IR 88287-86#IR 88287-86-1",IRRI 123,1559,in standardized format,"IRRI 123
IR 88287-86-1/SAKHA 104"
N/A,IR 88287-86-1/SOM CAU 70 A,IR 88287-86-1,1560,in standardized format,"IR 88287#IR 88287-86#IR 88287-86-1",SAKHA 104,1561,in standardized format,"SAKHA 104
IR 88287-86-1/SOM CAU 70 A"
N/A,IR 88287-86-1/SUPER BASMATI,IR 88287-86-1,1562,in standardized format,"IR 88287#IR 88287-86#IR 88287-86-1",SOM CAU 70 A,1563,in standardized format,"SOM CAU 70 A
IR 88287-86-1/SUPER BASMATI"
N/A,IR 88287-59-1/WAB 56-125,IR 88287-86-1,1564,in standardized format,"IR 88287#IR 88287-86#IR 88287-86-1",SUPER BASMATI,1565,in standardized format,"SUPER BASMATI
IR 88287-59-1/WAB 56-125"
N/A,IR 88287-59-1/OM 4900,IR 88287-59-1,1566,in standardized format,"IR 88287#IR 88287-59#IR 88287-59-1",OM 4498,1567,in standardized format,"OM 4498
IR 88287-59-1/OM 4900"
N/A,IR 88287-59-1/IRRI 123,IR 88287-59-1,1568,in standardized format,"IR 88287#IR 88287-59#IR 88287-59-1",OM 4900,1569,in standardized format,"OM 4900
IR 88287-59-1/IRRI 123"
N/A,IR 88287-59-1/PUSA BASMATI 1,IR 88287-59-1,1570,in standardized format,"IR 88287#IR 88287-59#IR 88287-59-1",IRRI 123,1571,in standardized format,"IRRI 123
IR 88287-59-1/PUSA BASMATI 1"
N/A,IR 88287-654-1/SADRI,IR 88287-59-1,1572,in standardized format,"IR 88287#IR 88287-59#IR 88287-59-1",PUSA BASMATI 1,1573,in standardized format,"PUSA BASMATI 1
IR 88287-654-1/SADRI"
N/A,IR 88287-654-1/IR 13240-108-2-2-3,IR 88287-654-1,1574,in standardized format,"IR 88287#IR 88287-654#IR 88287-654-1",SADRI,1575,in standardized format,"SADRI
IR 88287-654-1/IR 13240-108-2-2-3"
N/A,IR 88287-654-1/ITA 306,IR 88287-654-1,1576,in standardized format,"IR 88287#IR 88287-654#IR 88287-654-1",IR 13240-108-2-2-3,1577,in standardized format,"IR 13240#IR 13240-108#IR 13240-108-2#IR 13240-108-2-2#IR 13240-108-2-2-3
IR 88287-654-1/ITA 306"
N/A,IR 88287-654-1/IR 45427-2B-2-2B-1-1,IR 88287-654-1,1578,in standardized format,"IR 88287#IR 88287-654#IR 88287-654-1",ITA 306,1579,in standardized format,"ITA 306
IR 88287-654-1/IR 45427-2B-2-2B-1-1"
N/A,IR 88287-654-1/IR 55179-3B-11-3,IR 88287-654-1,1580,in standardized format,"IR 88287#IR 88287-654#IR 88287-654-1",IR 45427-2B-2-2B-1-1,1581,in standardized format,"IR 45427#IR 45427-2B#IR 45427-2B-2#IR 45427-2B-2-2B#IR 45427-2B-2-2B-1#IR 45427-2B-2-2B-1-1
IR 88287-654-1/IR 55179-3B-11-3"
N/A,IR 88287-432-1/IR 64197-3B-3-1,IR 88287-654-1,1582,in standardized format,"IR 88287#IR 88287-654#IR 88287-654-1",IR 55179-3B-11-3,1583,in standardized format,"IR 55179#IR 55179-3B#IR 55179-3B-11#IR 55179-3B-11-3
IR 88287-432-1/IR 64197-3B-3-1"
N/A,IR 88287-432-1/IR 65196-3B-5-2-2,IR 88287-432-1,1584,in standardized format,"IR 88287#IR 88287-432#IR 88287-432-1",IR 64197-3B-3-1,1585,in standardized format,"IR 64197#IR 64197-3B#IR 64197-3B-3#IR 64197-3B-3-1
IR 88287-432-1/IR 65196-3B-5-2-2"
N/A,IR 88287-432-1/CSR 28,IR 88287-432-1,1586,in standardized format,"IR 88287#IR 88287-432#IR 88287-432-1",IR 65196-3B-5-2-2,1587,in standardized format,"IR 65196#IR 65196-3B#IR 65196-3B-5#IR 65196-3B-5-2#IR 65196-3B-5-2-2
IR 88287-432-1/CSR 28"
N/A,IR 88287-432-1/IR 74099-3R-3-3,IR 88287-432-1,1588,in standardized format,"IR 88287#IR 88287-432#IR 88287-432-1",CSR 28,1589,in standardized format,"CSR 28
IR 88287-432-1/IR 74099-3R-3-3"
N/A,IR 88287-432-1/IR 73571-3B-14-1,IR 88287-432-1,1590,in standardized format,"IR 88287#IR 88287-432#IR 88287-432-1",IR 74099-3R-3-3,1591,"IR 74099-3R^-3-3	;string pattern not recognized. #",N/A
N/A,IR 88287-655-1/SAMBHA MAHSURI,IR 88287-432-1,1592,in standardized format,"IR 88287#IR 88287-432#IR 88287-432-1",IR 73571-3B-14-1,1593,in standardized format,"IR 73571#IR 73571-3B#IR 73571-3B-14#IR 73571-3B-14-1
IR 88287-655-1/SAMBHA MAHSURI"
N/A,IR 88287-655-1/FH132,IR 88287-655-1,1594,in standardized format,"IR 88287#IR 88287-655#IR 88287-655-1",SAMBHA MAHSURI,1595,in standardized format,"SAMBHA MAHSURI
IR 88287-655-1/FH132"
N/A,IR 88287-655-1/SR 26 B,IR 88287-655-1,1596,in standardized format,"IR 88287#IR 88287-655#IR 88287-655-1",FH132,1597,in standardized format,"FH132
IR 88287-655-1/SR 26 B"
N/A,IR 88287-655-1/SUPA,IR 88287-655-1,1598,in standardized format,"IR 88287#IR 88287-655#IR 88287-655-1",SR 26 B,1599,in standardized format,"SR 26 B
IR 88287-655-1/SUPA"
N/A,IR 88287-655-1/SWARNA,IR 88287-655-1,1600,in standardized format,"IR 88287#IR 88287-655#IR 88287-655-1",SUPA,1601,in standardized format,"SUPA
IR 88287-655-1/SWARNA"
N/A,IR 88287-215-1/CENTAURO,IR 88287-655-1,1602,in standardized format,"IR 88287#IR 88287-655#IR 88287-655-1",SWARNA,1603,in standardized format,"SWARNA
IR 88287-215-1/CENTAURO"
N/A,IR 88287-215-1/COLOMBIA XXI,IR 88287-215-1,1604,in standardized format,"IR 88287#IR 88287-215#IR 88287-215-1",CENTAURO,1605,in standardized format,"CENTAURO
IR 88287-215-1/COLOMBIA XXI"
N/A,IR 88287-215-1/CT 6946-9-1-2-M-1P,IR 88287-215-1,1606,in standardized format,"IR 88287#IR 88287-215#IR 88287-215-1",COLOMBIA XXI,1607,in standardized format,"COLOMBIA XXI
IR 88287-215-1/CT 6946-9-1-2-M-1P"
N/A,IR 88287-266-1/FL 1028-8P-3-2P-1P-M-2X-3P-1P,IR 88287-215-1,1608,in standardized format,"IR 88287#IR 88287-215#IR 88287-215-1",DULAR,1609,in standardized format,"DULAR
IR 88287-266-1/FL 1028-8P-3-2P-1P-M-2X-3P-1P"
N/A,HASAWI/GIZA 178,IR 88287-266-1,1610,in standardized format,"IR 88287#IR 88287-266#IR 88287-266-1",GIZA 159,1611,in standardized format,"GIZA 159
HASAWI/GIZA 178"
N/A,HASAWI/GOCHI BORO,HASAWI,1612,in standardized format,"HASAWI",GIZA 178,1613,in standardized format,"GIZA 178
HASAWI/GOCHI BORO"
N/A,HASAWI/IDSA 77,HASAWI,1614,in standardized format,"HASAWI",GOCHI BORO,1615,in standardized format,"GOCHI BORO
HASAWI/IDSA 77"
